project,metric,run_ids,repo_commit,repo_dirty,raw_rows_ok,raw_rows_skipped,n_rows_metric,n_components,component_types,n_tools,tools,variants,agreement_pairs,agreement_mean_rho,agreement_min_common,agreement_max_common
Java,ca,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
Java,cbo,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,1,1,module,1,ck,ck-ce-ca-proxy,0,,,
Java,cc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,2,1,module,2,"ck,lizard","ck-normalized,lizard-default",0,,,
Java,ce,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
Java,duplication-rate,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,1,1,module,1,jscpd,jscpd-default,0,,,
Java,instability,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy-derived,jdepend-default-derived",0,,,
Java,lcom,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,2,1,module,2,"ck,ckjm","ck-default,ckjm-default",0,,,
Java,loc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,4629,1543,file,3,"cloc,scc,tokei","cloc-default,scc-default,tokei-default",3,0.988278,1543,1543
Java,maintainability-index,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,1,1,module,1,java-halstead-analyzer,mi-halstead-default,0,,,
Java,nom,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,1,1,module,1,ck,ck-raw,0,,,
Java,test-coverage,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,1,1,module,1,jacoco,jacoco-default,0,,,
Java,wmc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,4645,0,1,1,module,1,ck,ck-raw,0,,,
commons-collections,ca,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
commons-collections,cbo,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,1,1,module,1,ck,ck-ce-ca-proxy,0,,,
commons-collections,cc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,2,1,module,2,"ck,lizard","ck-normalized,lizard-default",0,,,
commons-collections,ce,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
commons-collections,duplication-rate,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,1,1,module,1,jscpd,jscpd-default,0,,,
commons-collections,instability,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy-derived,jdepend-default-derived",0,,,
commons-collections,lcom,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,2,1,module,2,"ck,ckjm","ck-default,ckjm-default",0,,,
commons-collections,loc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,2685,895,file,3,"cloc,scc,tokei","cloc-default,scc-default,tokei-default",3,0.977273,895,895
commons-collections,maintainability-index,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,1,1,module,1,java-halstead-analyzer,mi-halstead-default,0,,,
commons-collections,nom,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,1,1,module,1,ck,ck-raw,0,,,
commons-collections,test-coverage,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,1,1,module,1,jacoco,jacoco-default,0,,,
commons-collections,wmc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,2701,0,1,1,module,1,ck,ck-raw,0,,,
commons-io,ca,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
commons-io,cbo,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,1,1,module,1,ck,ck-ce-ca-proxy,0,,,
commons-io,cc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,2,1,module,2,"ck,lizard","ck-normalized,lizard-default",0,,,
commons-io,ce,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
commons-io,duplication-rate,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,1,1,module,1,jscpd,jscpd-default,0,,,
commons-io,instability,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy-derived,jdepend-default-derived",0,,,
commons-io,lcom,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,2,1,module,2,"ck,ckjm","ck-default,ckjm-default",0,,,
commons-io,loc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,1959,653,file,3,"cloc,scc,tokei","cloc-default,scc-default,tokei-default",3,0.973702,653,653
commons-io,maintainability-index,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,1,1,module,1,java-halstead-analyzer,mi-halstead-default,0,,,
commons-io,nom,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,1,1,module,1,ck,ck-raw,0,,,
commons-io,test-coverage,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,1,1,module,1,jacoco,jacoco-default,0,,,
commons-io,wmc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1975,0,1,1,module,1,ck,ck-raw,0,,,
commons-lang,ca,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1843,0,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
commons-lang,cbo,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1843,0,1,1,module,1,ck,ck-ce-ca-proxy,0,,,
commons-lang,cc,8a6d4c8b-2e87-4462-9f2e-7221372772ae,unknown,false,1843,0,2,1,module,2,"ck,lizard","ck-normalized,lizard-default",0,,,
