project,metric,run_ids,repo_commit,repo_dirty,raw_rows_ok,raw_rows_skipped,n_rows_metric,n_components,component_types,n_tools,tools,variants,agreement_pairs,agreement_mean_rho,agreement_min_common,agreement_max_common
Java,ca,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
Java,cbo,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,3,1,module,1,ck,"ck-cbo-agg,ck-ce-ca-proxy",0,,,
Java,cc,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,3756,3755,"method,module",2,"ckjm,lizard","ckjm-normalized,lizard-default,lizard-module-mean",0,,,
Java,ce,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
Java,duplication-rate,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,792,792,file,1,jscpd,jscpd-default,0,,,
Java,instability,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,4,1,module,2,"ck,jdepend","ck-ce-ca-proxy-normalized,ck-derived,jdepend-default,jdepend-default-normalized",0,,,
Java,lcom,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,2,1,module,2,"ck,ckjm","ck-default,ckjm-default",0,,,
Java,loc,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,4629,1543,file,3,"cloc,scc,tokei","cloc-default,scc-default,tokei-default",3,0.988278,1543,1543
Java,maintainability-index,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,1,1,module,1,java-halstead-analyzer,mi-halstead-default,0,,,
Java,nom,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,1,1,module,1,ckjm,ckjm-raw,0,,,
Java,static-warnings,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,792,792,file,1,checkstyle,checkstyle-default,0,,,
Java,test-coverage,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,787,787,file,1,jacoco,jacoco-default,0,,,
Java,wmc,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,10772,3,1,1,module,1,ckjm,ckjm-raw,0,,,
commons-collections,ca,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
commons-collections,cbo,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,3,1,module,1,ck,"ck-cbo-agg,ck-ce-ca-proxy",0,,,
commons-collections,cc,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,4648,4647,"method,module",2,"ckjm,lizard","ckjm-normalized,lizard-default,lizard-module-mean",0,,,
commons-collections,ce,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,2,1,module,2,"ck,jdepend","ck-ce-ca-proxy,jdepend-default",0,,,
commons-collections,duplication-rate,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,359,359,file,1,jscpd,jscpd-default,0,,,
commons-collections,instability,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,4,1,module,2,"ck,jdepend","ck-ce-ca-proxy-normalized,ck-derived,jdepend-default,jdepend-default-normalized",0,,,
commons-collections,lcom,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,2,1,module,2,"ck,ckjm","ck-default,ckjm-default",0,,,
commons-collections,loc,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,2685,895,file,3,"cloc,scc,tokei","cloc-default,scc-default,tokei-default",3,0.977273,895,895
commons-collections,maintainability-index,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,1,1,module,1,java-halstead-analyzer,mi-halstead-default,0,,,
commons-collections,nom,5899a99c-0676-4d1a-b88e-01577587da32,unknown,false,8375,3,1,1,module,1,ckjm,ckjm-raw,0,,,
